"","Eric L. Adams","Kathryn A. Garcia","Maya D. Wiley","Andrew Yang","Scott M. Stringer","Dianne Morales","Raymond J. McGuire","Shaun Donovan","Art Chang","Paperboy Love Prince","Joycelyn Taylor","Aaron S. Foldenauer","Isaac Wright Jr.","Write-in"
"Round 1",0.306643090620647,0.195578539025866,0.213215072161956,0.122216613916874,0.0550968385030235,0.0282965460246085,0.0269590181021266,0.0247813025447932,0.0075987246925225,0.0042559630571402,0.0029046789139357,0.00832674621994943,0.00244331643434518,0.0016835497821755
"Round 2",0.30710365036782,0.195851570699206,0.213460049710837,0.122497911064872,0.0552177840660567,0.0283608027865163,0.0270126585763887,0.0248247041866593,0.0076228923994539,0.00430707187949116,0.00293139290937571,0.00835150450987644,0.0024580068434469,0
"Round 3",0.307742107750338,0.196057530722401,0.213916679204984,0.122777275068001,0.0553564730539291,0.0284962289700698,0.0271834146734275,0.0249752589073222,0.00765861318493703,0.00437286892836658,0.00304098226906021,0.00842256726716399,0,0
"Round 4",0.308317580540645,0.196471869205352,0.214485713286102,0.123136832485381,0.055514148888009,0.0288755845673154,0.0273255733822149,0.0251139979156475,0.00781154747730995,0.00444753551402195,0,0.00849961673800083,0,0
"Round 5",0.308659469710594,0.196934470081865,0.216410374987011,0.12346442428244,0.0557696917499454,0.0293899275142486,0.0274213358845822,0.0252077309647999,0.00817877697002417,0,0,0.00856379785449011,0,0
"Round 6",0.309625648006725,0.198120700749896,0.218607377454784,0.125112823791041,0.0562526148572728,0.0303280968936011,0.027627759006258,0.0255804717680355,0,0,0,0.00874450747238639,0,0
"Round 7",0.311022980908278,0.19918383768716,0.219708169818816,0.126033640618265,0.0573995842553468,0.0324176520112938,0.0283464198169483,0.0258877148838919,0,0,0,0,0,0
"Round 8",0.316253696448182,0.205295128695128,0.223712781970956,0.13030073341802,0.060934547512039,0.033360378345486,0.0301427336101898,0,0,0,0,0,0,0
"Round 9",0.32548252581198,0.212674476770541,0.228111875078341,0.135646015272444,0.0634034471714733,0.0346816598952201,0,0,0,0,0,0,0,0
"Round 10",0.330392547520283,0.220400624629807,0.24303914705725,0.138645199504604,0.0675224812880559,0,0,0,0,0,0,0,0,0
"Round 11",0.346048384373247,0.244259707323255,0.261223760568509,0.148468147734988,0,0,0,0,0,0,0,0,0,0
"Round 12",0.404497938198355,0.304701499844038,0.290800561957608,0,0,0,0,0,0,0,0,0,0,0
"Round 13",0.504416066116522,0.495583933883478,0,0,0,0,0,0,0,0,0,0,0,0
